"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.237711580E-1,-1.312806606E-1,-2.889726162E-1,-4.942274094E-1
4.287632420E-1,-3.275508881E-1,-2.517892122E-1,-5.297212601E-1
4.337553250E-1,-3.669977188E-1,-1.946522593E-1,-5.788249969E-1
4.387474080E-1,-2.655997276E-1,-1.365454793E-1,-5.940265656E-1
4.437394920E-1,-1.528899670E-1,-1.011227369E-1,-5.283632278E-1
4.487315750E-1,-8.582162857E-2,-6.982678175E-2,-3.589458466E-1
4.537236580E-1,-2.703762054E-2,-2.451437712E-2,-3.020095825E-2
4.587157420E-1,-1.101784706E-1,-6.076395512E-2,1.482267380E-1
4.637078250E-1,-9.986400604E-2,-9.740054607E-2,3.158264160E-1
4.686999080E-1,-7.700157166E-2,-1.583218575E-1,5.581703186E-1
4.736919920E-1,-1.816201210E-2,-2.439502925E-1,7.418861389E-1
4.786840750E-1,7.583928108E-2,-2.741640806E-1,9.196701050E-1
4.836761580E-1,1.471625566E-1,-2.175889611E-1,1.077294350E0
4.886682420E-1,2.807767391E-1,-2.233941853E-1,1.229086876E0
4.936603250E-1,3.994338512E-1,-2.635273039E-1,1.313335419E0
4.986524080E-1,4.552361965E-1,-2.625093758E-1,1.283186913E0
5.036444920E-1,4.948223829E-1,-2.543522418E-1,1.343325615E0
5.086365750E-1,4.694827795E-1,-2.251968682E-1,1.426259041E0
5.136286580E-1,3.751354218E-1,-2.132587135E-1,1.479705811E0
5.186207420E-1,2.186242342E-1,-5.735090375E-2,1.703423500E0
5.236128250E-1,8.308148384E-2,7.484529912E-2,1.768956184E0
5.286049080E-1,-3.857851028E-2,1.786053181E-1,1.863167763E0
5.335969920E-1,-2.772977352E-1,2.591213584E-1,1.933859825E0
5.385890750E-1,-3.374950886E-1,2.460784912E-1,1.929091454E0
5.435811580E-1,-3.118922114E-1,1.841989756E-1,1.764072418E0
5.485732420E-1,-5.256428123E-1,1.133453622E-1,1.629887581E0
5.535653250E-1,-5.417951345E-1,-2.618469298E-3,1.303169250E0
5.585574080E-1,-6.193646193E-1,-9.985008091E-2,9.991836548E-1
5.635494920E-1,-8.246378899E-1,-1.770081073E-1,7.510070801E-1
5.685415750E-1,-8.428302407E-1,-2.521270514E-1,4.491062164E-1
5.735336580E-1,-9.442828298E-1,-3.290490806E-1,2.507295609E-1
5.785257420E-1,-1.135376930E0,-3.455272019E-1,1.455678940E-1
5.835178250E-1,-1.284201264E0,-4.198709130E-1,-1.045284271E-1
5.885099080E-1,-1.168296814E0,-5.731781721E-1,-5.838985443E-1
5.935019920E-1,-1.470073342E0,-5.986689329E-1,-7.686853409E-1
5.984940750E-1,-1.552964449E0,-4.881767631E-1,-6.286458969E-1
6.034861580E-1,-1.626846194E0,-4.771344066E-1,-3.805427551E-1
6.084782420E-1,-1.541859150E0,-5.790056586E-1,-2.201080322E-1
6.134703250E-1,-1.014733195E0,-6.684347391E-1,-1.275453568E-1
6.184624080E-1,-8.614233732E-1,-7.174264193E-1,1.828126907E-1
6.234544920E-1,-8.432716131E-1,-7.187517285E-1,6.665868759E-1
6.284465750E-1,-6.003895402E-1,-6.893261671E-1,1.180016518E0
6.334386580E-1,-4.224041700E-1,-6.127079725E-1,1.903449059E0
6.384307420E-1,-1.912927032E-1,-3.169509470E-1,2.844716072E0
6.434228250E-1,-2.641992271E-1,-3.434616923E-1,3.047133446E0
6.484149080E-1,-3.757601976E-1,-2.250960171E-1,3.281248093E0
6.534069920E-1,-5.152480006E-1,-2.067160308E-1,3.166576385E0
6.583990750E-1,-4.793729782E-1,-1.445838511E-1,2.910051346E0
6.633911580E-1,-3.155054450E-1,-1.479496360E-1,2.631498337E0
6.683832420E-1,-2.244492471E-1,-1.967258155E-1,2.421357155E0
6.733753250E-1,-7.893562317E-2,-2.373496890E-1,2.321915627E0
6.783674080E-1,-8.569366485E-2,-2.069825828E-1,2.218348503E0
6.833594920E-1,-2.062005699E-1,-1.954778135E-1,2.148776054E0
6.883515750E-1,-1.922317445E-1,-2.777165473E-1,2.036970139E0
6.933436580E-1,-2.289798558E-1,-2.905217111E-1,1.954599380E0
6.983357420E-1,-2.707732320E-1,-1.812241673E-1,1.830179214E0
7.033278250E-1,-3.615998328E-1,-8.762544394E-2,1.568932533E0
7.083199080E-1,-4.591532350E-1,-1.793739200E-2,1.190813065E0
7.133119920E-1,-4.505197108E-1,-4.637554288E-2,8.630113602E-1
7.183040750E-1,-4.025291800E-1,-1.949184239E-1,5.138397217E-1
7.232961580E-1,-3.495906293E-1,-4.044106305E-1,2.052898407E-1
7.282882420E-1,-2.926903963E-1,-5.879966021E-1,-9.140491486E-2
7.332803250E-1,-2.806677222E-1,-7.166348696E-1,-2.383565903E-1
7.382724080E-1,-3.823012710E-1,-7.291781902E-1,-2.888469696E-1
7.432644920E-1,-4.510217309E-1,-5.846368074E-1,-3.528833389E-1
7.482565750E-1,-3.024740219E-1,-2.137756348E-1,-3.495016098E-1
7.532486580E-1,-3.157804608E-1,-1.852234602E-1,-3.362579346E-1
7.582407420E-1,-3.109689653E-1,-1.550197601E-1,-2.989988327E-1
7.632328250E-1,-3.081645072E-1,-1.286044419E-1,-2.522134781E-1
7.682249080E-1,-3.701221645E-1,-1.728519797E-1,-1.008920670E-1
7.732169920E-1,-5.070102215E-1,-2.735486925E-1,1.637105942E-1
7.782090750E-1,-6.290100813E-1,-3.261617124E-1,3.266868591E-1
7.832011580E-1,-7.750660181E-1,-2.936032712E-1,4.837322235E-1
7.881932420E-1,-9.552175403E-1,-2.726623416E-1,6.252346039E-1
7.931853250E-1,-9.754077792E-1,-2.311725616E-1,7.178144455E-1
7.981774080E-1,-9.611969590E-1,-2.368450165E-1,7.854251862E-1
8.031694920E-1,-9.282134175E-1,-2.619113624E-1,8.566217422E-1
8.081615750E-1,-9.584323168E-1,-2.877884209E-1,8.266086578E-1
8.131536580E-1,-9.708124399E-1,-3.722489774E-1,7.911729813E-1
8.181457420E-1,-9.605017304E-1,-5.009532571E-1,6.457271576E-1
8.231378250E-1,-9.879806042E-1,-6.261042356E-1,4.530019760E-1
8.281299080E-1,-8.733088970E-1,-7.805522680E-1,8.509540558E-2
8.331219920E-1,-6.592074633E-1,-8.960311413E-1,-3.994436264E-1
8.381140750E-1,-2.593845129E-1,-1.094421625E0,-8.282842636E-1
8.431061580E-1,2.243108451E-1,-1.335187912E0,-1.120733261E0
8.480982420E-1,6.931713820E-1,-1.530617952E0,-1.296649933E0
8.530903250E-1,1.123895526E0,-1.736337900E0,-1.394848824E0
8.580824080E-1,1.515914440E0,-1.893911600E0,-1.344452858E0
8.630744920E-1,1.871398211E0,-2.060317278E0,-1.151192665E0
8.680665750E-1,1.944638729E0,-2.006702900E0,-8.159866333E-1
8.730586580E-1,1.154703856E0,-1.321095586E0,-3.159017563E-1
8.780507420E-1,1.864024699E-1,-4.563289583E-1,1.243438721E-1
8.830428250E-1,-4.751758277E-1,1.563642919E-1,4.955472946E-1
8.880349080E-1,-7.396287918E-1,3.451062143E-1,7.741928101E-1
8.930269920E-1,-6.787385941E-1,1.490636319E-1,8.845071793E-1
8.980190750E-1,-4.445121884E-1,-2.451404631E-1,9.225339890E-1
9.030111580E-1,-2.025933862E-1,-6.088980436E-1,8.361654282E-1
9.080032420E-1,-1.555911601E-1,-8.720542789E-1,6.498117447E-1
9.129953250E-1,-3.875462711E-1,-9.693505764E-1,4.212703705E-1
9.179874080E-1,-6.072270274E-1,-9.971852899E-1,1.462888718E-1
9.229794920E-1,-6.625142694E-1,-8.744822741E-1,-8.887004852E-2
9.279715750E-1,-4.687068760E-1,-7.438997626E-1,-2.984628677E-1
9.329636580E-1,-1.059986949E-1,-5.755699277E-1,-2.681999207E-1
9.379557420E-1,3.679673076E-1,-4.401317239E-1,-6.123256683E-2
9.429478250E-1,6.128394604E-1,-2.936599851E-1,1.309862137E-1
9.479399080E-1,6.020653248E-1,-6.285342574E-2,-1.141548157E-3
9.529319920E-1,3.901742995E-1,1.682410240E-1,-1.654691696E-1
9.579240750E-1,5.283471197E-2,3.094706535E-1,-2.904291153E-1
9.629161580E-1,-9.212689847E-2,4.103507996E-1,-5.428953171E-1
9.679082420E-1,1.576149464E-2,4.284555316E-1,-3.410100937E-1
9.729003250E-1,3.264635503E-1,2.342493534E-1,-9.192943573E-2
9.778924080E-1,2.954624295E-1,5.596214533E-2,1.803407669E-1
9.828844920E-1,2.703004777E-1,-5.555897951E-2,2.089147568E-1
9.878765750E-1,2.414874434E-1,-2.296457887E-1,9.503078461E-2
9.928686580E-1,1.984350979E-1,-5.223648548E-1,-4.160213470E-2
9.978607420E-1,3.987314701E-1,-6.984501481E-1,-3.297071457E-1
1.002852825E0,3.974676430E-1,-7.044289708E-1,-5.114889145E-1
1.007844908E0,4.807227552E-1,-6.969457865E-1,-6.115293503E-1
1.012836992E0,5.856662989E-1,-5.469329953E-1,-7.447166443E-1
1.017829075E0,5.341379642E-1,-3.937373161E-1,-8.012495041E-1
1.022821158E0,2.795336843E-1,-2.950579524E-1,-9.149351120E-1
1.027813242E0,2.039560676E-1,-3.368244767E-1,-9.949607849E-1
1.032805325E0,1.519390345E-1,-3.806908131E-1,-9.317588806E-1
1.037797408E0,2.233546972E-2,-3.272904158E-1,-7.640161514E-1
1.042789492E0,2.355805039E-1,-3.491088152E-1,-6.113443375E-1
1.047781575E0,4.565335512E-1,-3.413920403E-1,-4.164257050E-1
1.052773658E0,3.274956346E-1,-2.619066238E-1,-1.459989548E-1
1.057765742E0,3.898721337E-1,-4.069775343E-1,4.232215881E-2
1.062757825E0,3.902525306E-1,-4.807548523E-1,4.111471176E-1
1.067749908E0,6.281750798E-1,-5.087565184E-1,6.978130341E-1
1.072741992E0,9.537850022E-1,-4.160529375E-1,9.220695496E-1
1.077734075E0,9.284489155E-1,-3.138862848E-1,1.298910141E0
1.082726158E0,1.017607450E0,-3.511044979E-1,1.727681160E0
1.087718242E0,1.301083088E0,-3.944519758E-1,1.974901199E0
1.092710325E0,1.157541156E0,-4.776420593E-1,2.060748100E0
1.097702408E0,8.562113047E-1,-5.619133711E-1,1.852525711E0
1.102694492E0,4.490104914E-1,-7.120486498E-1,1.356216431E0
1.107686575E0,2.448160648E-1,-8.767302036E-1,5.059614182E-1
1.112678658E0,5.757486820E-2,-1.004314542E0,-3.924427032E-1
1.117670742E0,-1.336852908E-1,-1.029562593E0,-1.187384605E0
1.122662825E0,-2.970985770E-1,-9.839708805E-1,-1.694486618E0
1.127654908E0,-3.101587892E-1,-8.913530111E-1,-1.934819221E0
1.132646992E0,-2.804222107E-1,-7.905769348E-1,-2.067322254E0
1.137639075E0,-1.444512606E-1,-7.823343277E-1,-2.202377796E0
1.142631158E0,-1.024501324E-1,-8.565495014E-1,-2.249619961E0
1.147623242E0,1.984786987E-2,-8.843530416E-1,-2.228195667E0
1.152615325E0,4.406368732E-2,-8.190398216E-1,-2.104654789E0
1.157607408E0,-2.954006195E-2,-6.667126417E-1,-1.984055996E0
1.162599492E0,-1.537545323E-1,-4.431279898E-1,-1.851658821E0
1.167591575E0,-4.302334785E-2,-3.735028505E-1,-1.754835129E0
1.172583658E0,4.343330860E-1,-3.338603973E-1,-1.645427704E0
1.177575742E0,3.976560831E-1,-3.157258034E-1,-1.565855980E0
1.182567825E0,6.286349893E-1,-3.144341707E-1,-1.553779602E0
1.187559908E0,5.996104479E-1,-1.245555878E-1,-1.766112328E0
1.192551992E0,5.789652467E-1,9.122276306E-2,-1.896826744E0
1.197544075E0,3.948308825E-1,2.277908325E-1,-1.865166664E0
1.202536158E0,3.294755816E-1,3.184669018E-1,-1.786175728E0
1.207528242E0,1.594240665E-1,9.114408493E-2,-1.717252731E0
1.212520325E0,-1.037274003E-1,-3.049449921E-1,-1.644174576E0
1.217512408E0,-2.676552534E-2,-6.163227558E-1,-1.566833496E0
1.222504492E0,3.141797185E-1,-9.005980492E-1,-1.275147438E0
1.227496575E0,6.058573127E-1,-7.386137247E-1,-9.795846939E-1
1.232488658E0,8.376134038E-1,-3.946472406E-1,-6.422328949E-1
1.237480742E0,9.778242707E-1,-1.176812649E-1,-4.540548325E-1
1.242472825E0,1.069724083E0,6.391632557E-2,-3.524227142E-1
1.247464908E0,1.189418316E0,1.885471344E-1,-2.272329330E-1
1.252456992E0,1.480250359E0,3.376065493E-1,-7.861137390E-2
1.257449075E0,1.799577713E0,4.537509680E-1,7.900047302E-2
1.262441158E0,2.014438152E0,4.939625263E-1,1.215887070E-1
1.267433242E0,2.029320478E0,4.536166191E-1,1.736898422E-1
1.272425325E0,1.929019451E0,3.992530107E-1,3.642349243E-1
1.277417408E0,1.797791481E0,3.970221281E-1,6.451826096E-1
1.282409492E0,1.795682192E0,4.270174503E-1,9.543371201E-1
1.287401575E0,1.809714913E0,3.980047703E-1,1.310813904E0
1.292393658E0,1.597256422E0,3.287056684E-1,1.647859573E0
1.297385742E0,1.145949244E0,2.947934866E-1,1.908556938E0
1.302377825E0,6.745878458E-1,3.572878838E-1,2.126809120E0
1.307369908E0,6.565946341E-2,4.194701910E-1,2.007193565E0
1.312361992E0,-3.797491789E-1,4.089257717E-1,1.856267929E0
1.317354075E0,-8.217329383E-1,2.302695513E-1,1.559343338E0
1.322346158E0,-8.752177358E-1,2.227902412E-2,9.780998230E-1
1.327338242E0,-7.699688077E-1,-1.718495488E-1,7.475290298E-1
1.332330325E0,-6.003699303E-1,-3.138664365E-1,9.280347824E-1
1.337322408E0,-6.636389494E-1,-1.542158127E-1,7.641391754E-1
1.342314492E0,-7.992602587E-1,-2.363979816E-2,5.095825195E-1
1.347306575E0,-1.000853539E0,1.899677515E-1,7.228183746E-1
1.352298658E0,-1.113075972E0,1.997210979E-1,1.073155403E0
1.357290742E0,-7.904673815E-1,3.396759033E-1,1.574677467E0
1.362282825E0,-3.411261439E-1,4.703805447E-1,1.697451591E0
1.367274908E0,-6.539565325E-2,5.437180996E-1,1.676647186E0
1.372266992E0,2.393917441E-1,5.544365644E-1,1.445954323E0
1.377259075E0,6.613844037E-1,5.500919819E-1,1.010770798E0
1.382251158E0,9.529955387E-1,5.739098787E-1,4.766931534E-1
1.387243242E0,1.008376002E0,7.416859865E-1,-1.798458099E-1
1.392235325E0,8.594436049E-1,9.879308939E-1,-8.200979233E-1
1.397227408E0,6.377565861E-1,1.142128229E0,-1.205550194E0
1.402219492E0,4.696714282E-1,1.189738631E0,-1.083984375E0
1.407211575E0,1.998307705E-1,1.353239298E0,-5.569677353E-1
