"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.121793189E2,6.150993985E1,2.361054218E1,1.290708712E2,1.820000052E0,2.226000061E2,3.790092468E0,2.500000000E0
2.131798676E2,6.150992724E1,2.361051951E1,1.292449325E2,1.809999943E0,2.236999969E2,3.790092468E0,2.500000000E0
2.141793705E2,6.150991467E1,2.361049692E1,1.290474118E2,1.840000033E0,2.261999969E2,3.790092468E0,2.676935434E0
2.151792779E2,6.150990288E1,2.361047642E1,1.291647111E2,1.620000005E0,2.273999939E2,3.790092468E0,2.500000000E0
2.161800919E2,6.150989155E1,2.361045509E1,1.292867715E2,1.759999990E0,2.288999939E2,3.790092468E0,2.500000000E0
2.171794670E2,6.150988118E1,2.361043075E1,1.291861763E2,1.779999971E0,2.323999939E2,3.790092468E0,2.595828056E0
2.181795134E2,6.150987113E1,2.361040343E1,1.301301368E2,1.740000010E0,2.361000061E2,3.790092468E0,2.500000000E0
2.191795284E2,6.150986170E1,2.361037529E1,1.302869884E2,1.779999971E0,2.375000000E2,3.790092468E0,2.500000000E0
2.201801410E2,6.150985354E1,2.361034555E1,1.312811212E2,1.649999976E0,2.385000000E2,3.790092468E0,2.500000000E0
2.211799535E2,6.150984806E1,2.361031828E1,1.310626097E2,1.230000019E0,2.451999969E2,3.790092468E0,2.500000000E0
2.221800550E2,6.150984493E1,2.361028869E1,1.305181723E2,1.600000024E0,2.558000031E2,3.790092468E0,2.500000000E0
2.231797037E2,6.150984352E1,2.361025866E1,1.303122981E2,1.399999976E0,2.655000000E2,3.790092468E0,2.500000000E0
2.241794995E2,6.150984390E1,2.361023110E1,1.302075608E2,1.429999948E0,2.683999939E2,3.790092468E0,2.500000000E0
2.251795449E2,6.150984682E1,2.361020181E1,1.296916925E2,1.549999952E0,2.787999878E2,3.790092468E0,2.500000000E0
2.261801508E2,6.150985193E1,2.361017216E1,1.294002523E2,1.570000052E0,2.871000061E2,3.790092468E0,2.500000000E0
2.271794633E2,6.150985737E1,2.361013817E1,1.296208360E2,1.669999957E0,2.902999878E2,3.790092468E0,2.500000000E0
2.281793789E2,6.150986161E1,2.361010044E1,1.301555054E2,1.700000048E0,2.895000000E2,3.790092468E0,2.500000000E0
2.291796607E2,6.150986609E1,2.361006353E1,1.297853900E2,1.759999990E0,2.876000061E2,3.790092468E0,2.500000000E0
2.301800226E2,6.150987153E1,2.361003057E1,1.293063888E2,1.360000014E0,2.926000061E2,3.790092468E0,2.500000000E0
2.311798506E2,6.150987751E1,2.360999954E1,1.288936112E2,1.659999967E0,2.946000061E2,3.790092468E0,2.500000000E0
2.321795428E2,6.150988436E1,2.360996675E1,1.290031731E2,1.740000010E0,2.967999878E2,3.790092468E0,2.500000000E0
2.331799754E2,6.150989101E1,2.360993280E1,1.290418730E2,1.840000033E0,2.918999939E2,3.790092468E0,2.500000000E0
2.341796961E2,6.150989700E1,2.360989741E1,1.288766539E2,1.899999976E0,2.902000122E2,3.790092468E0,2.500000000E0
2.351799194E2,6.150990258E1,2.360986234E1,1.283840418E2,1.860000014E0,2.881000061E2,3.790092468E0,2.500000000E0
2.361801106E2,6.150990739E1,2.360982773E1,1.280372422E2,1.870000005E0,2.857999878E2,3.790092468E0,2.500000000E0
2.371796898E2,6.150991160E1,2.360979209E1,1.272376222E2,1.960000038E0,2.837999878E2,3.790092468E0,2.500000000E0
2.381799976E2,6.150991570E1,2.360975730E1,1.265697771E2,1.789999962E0,2.846000061E2,3.790092468E0,2.500000000E0
2.391798603E2,6.150991764E1,2.360972204E1,1.264016250E2,1.750000000E0,2.798999939E2,3.790092468E0,2.500000000E0
2.401796868E2,6.150991841E1,2.360968571E1,1.257544071E2,1.830000043E0,2.767999878E2,3.790092468E0,2.500000000E0
2.411799927E2,6.150991933E1,2.360964276E1,1.255783804E2,2.170000076E0,2.762000122E2,3.790092468E0,2.500000000E0
2.421801075E2,6.150992098E1,2.360959389E1,1.259202372E2,2.299999952E0,2.797999878E2,3.790092468E0,2.500000000E0
2.431798871E2,6.150992444E1,2.360954311E1,1.253922224E2,2.480000019E0,2.820000000E2,3.790092468E0,2.598958731E0
2.441794265E2,6.150993149E1,2.360949278E1,1.247198622E2,2.650000095E0,2.887000122E2,3.790092468E0,2.623485088E0
2.451795293E2,6.150994496E1,2.360944704E1,1.243171607E2,2.869999886E0,3.041000061E2,3.790092468E0,2.569368362E0
2.461795413E2,6.150996405E1,2.360940834E1,1.239609726E2,2.960000038E0,3.160000000E2,3.790092468E0,2.500000000E0
2.471799140E2,6.150998605E1,2.360937593E1,1.235472920E2,2.970000029E0,3.218999939E2,3.790092468E0,2.500000000E0
2.481798694E2,6.151000812E1,2.360934408E1,1.234304865E2,2.980000019E0,3.202999878E2,3.790092468E0,2.500000000E0
2.491798174E2,6.151002976E1,2.360931330E1,1.233988858E2,2.920000076E0,3.212999878E2,3.790092468E0,2.500000000E0
2.501799129E2,6.151005068E1,2.360928192E1,1.234458368E2,2.940000057E0,3.198999939E2,3.790092468E0,2.500000000E0
2.511795271E2,6.151007059E1,2.360924694E1,1.236961559E2,2.960000038E0,3.187999878E2,3.790092468E0,2.500000000E0
2.521795766E2,6.151008963E1,2.360920934E1,1.238599874E2,2.960000038E0,3.162000122E2,3.790092468E0,2.500000000E0
2.531794821E2,6.151010793E1,2.360917029E1,1.237378075E2,2.960000038E0,3.152999878E2,3.790092468E0,2.500000000E0
2.541797125E2,6.151012637E1,2.360913010E1,1.238679470E2,3.009999990E0,3.162999878E2,3.790092468E0,2.500000000E0
2.551801441E2,6.151014554E1,2.360909491E1,1.241560463E2,2.900000095E0,3.202000122E2,3.790092468E0,2.500000000E0
2.561797447E2,6.151016603E1,2.360906521E1,1.238131044E2,2.960000038E0,3.237999878E2,3.790092468E0,2.500000000E0
2.571798419E2,6.151018786E1,2.360903643E1,1.236157325E2,3.000000000E0,3.267000122E2,3.790092468E0,2.500000000E0
2.581799061E2,6.151020998E1,2.360901004E1,1.239110367E2,2.940000057E0,3.277000122E2,3.790092468E0,2.500000000E0
2.591792788E2,6.151023123E1,2.360898264E1,1.240745042E2,2.970000029E0,3.263999939E2,3.790092468E0,2.500000000E0
2.601799981E2,6.151025187E1,2.360895255E1,1.242043407E2,2.960000038E0,3.240000000E2,3.790092468E0,2.500000000E0
2.611797458E2,6.151027149E1,2.360892018E1,1.240948575E2,2.960000038E0,3.205000000E2,3.790092468E0,2.500000000E0
2.621793209E2,6.151029033E1,2.360888635E1,1.245965796E2,2.930000067E0,3.187999878E2,3.790092468E0,2.500000000E0
2.631796320E2,6.151030940E1,2.360885411E1,1.248362171E2,2.930000067E0,3.205000000E2,3.790092468E0,2.500000000E0
2.641797932E2,6.151032898E1,2.360882385E1,1.248391607E2,2.930000067E0,3.233999939E2,3.790092468E0,2.500000000E0
2.651798679E2,6.151035082E1,2.360880613E1,1.244610642E2,2.859999895E0,3.365000000E2,3.790092468E0,2.500000000E0
2.661793810E2,6.151037322E1,2.360880511E1,1.242641823E2,2.619999886E0,3.581000061E2,3.790092468E0,2.500000000E0
2.671794431E2,6.151039422E1,2.360882463E1,1.245314726E2,2.569999933E0,2.379999924E1,3.790092468E0,2.500000000E0
2.681794295E2,6.151041324E1,2.360886110E1,1.243909864E2,2.799999952E0,4.179999924E1,3.790092468E0,2.500000000E0
2.691799582E2,6.151043087E1,2.360890228E1,1.249032092E2,2.720000029E0,4.579999924E1,3.790092468E0,2.500000000E0
2.701792893E2,6.151044818E1,2.360894691E1,1.252875023E2,2.890000105E0,4.920000076E1,3.790092468E0,2.500000000E0
2.711799030E2,6.151046745E1,2.360899467E1,1.258575880E2,3.039999962E0,4.990000153E1,3.790092468E0,2.567656755E0
2.721797920E2,6.151048173E1,2.360903905E1,1.240042078E2,2.529999971E0,5.579999924E1,3.790092468E0,2.682680368E0
2.731796879E2,6.151049543E1,2.360908420E1,1.240996797E2,2.690000057E0,5.879999924E1,3.790092468E0,2.742152452E0
2.741796102E2,6.151051049E1,2.360913311E1,1.249021841E2,2.759999990E0,6.200000000E1,3.790092468E0,2.926600456E0
2.751792084E2,6.151052760E1,2.360918062E1,1.260156031E2,2.789999962E0,5.800000000E1,3.790092468E0,3.066640854E0
2.761799531E2,6.151054685E1,2.360923000E1,1.266782183E2,2.880000114E0,5.729999924E1,3.790092468E0,3.263558865E0
2.771796660E2,6.151056368E1,2.360927242E1,1.279400743E2,1.919999957E0,5.929999924E1,3.790092468E0,3.240380287E0
2.781801350E2,6.151057638E1,2.360930342E1,1.277907938E2,1.470000029E0,6.129999924E1,3.790092468E0,3.229578733E0
2.791797299E2,6.151058910E1,2.360933255E1,1.275686372E2,1.629999995E0,6.009999847E1,3.790092468E0,3.305961370E0
2.801794094E2,6.151060265E1,2.360936066E1,1.273868865E2,1.629999995E0,5.500000000E1,3.790092468E0,3.362071276E0
2.811794078E2,6.151061720E1,2.360939083E1,1.271654638E2,1.769999981E0,5.709999847E1,3.790092468E0,3.203283548E0
2.821793232E2,6.151063116E1,2.360942512E1,1.276823221E2,2.000000000E0,6.040000153E1,3.790092468E0,3.330144644E0
2.831801745E2,6.151064265E1,2.360945629E1,1.275207115E2,1.320000052E0,6.430000305E1,3.790092468E0,3.275955200E0
2.841795851E2,6.151065047E1,2.360947176E1,1.279882477E2,1.500000060E-1,6.450000000E1,3.790092468E0,3.299748659E0
2.851794602E2,6.151065660E1,2.360947916E1,1.281869223E2,0.000000000E0,NaN,3.790092468E0,3.405423403E0
2.861798103E2,6.151066275E1,2.360948513E1,1.283147350E2,0.000000000E0,NaN,3.790092468E0,3.444833755E0
2.871798638E2,6.151066938E1,2.360948886E1,1.292550480E2,2.800000012E-1,1.419999981E1,3.790092468E0,3.348184109E0
2.881796155E2,6.151068043E1,2.360949569E1,1.292697665E2,0.000000000E0,NaN,3.790092468E0,3.415659904E0
